surface	headwords	krdict_ids	stdict_ids	opendict_ids	stdict_statuses	opendict_statuses	krdict_hosts	stdict_hosts	opendict_hosts
란	란|란04	85858	417452:417452001	139589:1|419424:1	일반어	옛말|일반어	-	nominal	nominal
랑	랑|랑04	80333	100236:100236001	334079:1|337465:1|346170:1	일반어	일반어	-	nominal	nominal
로	로|로06	85761	421619:421619001	143646:1|440824:1|445194:1|448127:1|448754:1|448967:1|449027:1|449040:1|449070:1|449094:1|449100:1|449108:1|449117:1|589967:1	일반어	방언|일반어	-	nominal	nominal
로까지	로까지	85919	-	-	-	-	-	-	-
로다가	로-다가|로다가	86550	-	1376953:1	-	일반어	-	-	nominal
로부터	로-부터|로부터	80332	421598:421598001	456670:1	일반어	일반어	-	nominal	nominal
로서	로서	70301	421558:421558001	440825:1|445195:1	일반어	일반어	-	nominal	nominal
로써	로써	80297	421816:421816001	403906:1|408222:1|411081:1	일반어	일반어	-	nominal	nominal
를	를	85764	421993:421993001	554504:1|557963:1|558788:1|559061:1|559189:1|559234:1|559276:1|559283:1|559316:1|566906:1	일반어	일반어	adverb|predicate-ending	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
마냥	마냥|마냥03	80341	105964:105964001	494025:1	일반어	일반어	-	-	nominal
마는	마는	86552	420441:420441001	457152:1	일반어	일반어	-	predicate-ending	predicate-ending
마다	마다|마다04	70331	107186:107186001	1379317:1|494135:1	일반어	일반어	-	nominal	nominal
마따나	마따나	86553	108928:108928001	144922:1	일반어	일반어	-	-	-
마저	마저	70332	108809:108809002	457026:1	일반어	일반어	-	nominal	nominal
마치	마치|마치04	600677	110000:110000002	-	일반어	-	-	-	-
마콤	마콤	-	108660:108660002	-	일반어	-	-	-	-
만	만|만12|만13	86554|86555	109285:109285001|422624:422624001	146678:1|146679:1|477863:1|482254:1|484831:1|485654:1|485788:1	일반어	옛말|일반어	-	-	-
만치	만치	80343	110575:110575002	145229:1|1610891:1	일반어	일반어	nominal|predicate-ending	nominal|predicate-ending	nominal|predicate-ending
