lemma	pos	alternation	flags	surface	krdict_ids	stdict_ids	opendict_ids	status
생청스럽다	VA	BToWo				438987:438987001	195020:1	productive-duplicate
서그럽다	VA	BToWo				178497:178497001	194578:1	review
서두르다	VV	ReuDoubleL			62311	443312:443312001	13981:1|44908:1	promoted
서럽다	VA	BToWo			62679	445520:445520001	192583:1	promoted
서먹스럽다	VA	BToWo					626275:1	productive-duplicate
서투르다	VA	ReuDoubleL			29043	444066:444066001	30072:1|30860:1|61672:1	promoted
선겁다	VA	BToWo				181338:181338001	405358:1|408948:1	review
섣부르다	VA	ReuDoubleL			63207	185860:185860001	198646:1	promoted
설굳다	VV	Regular				186403:186403001	573008:1	regular-control
설굽다	VV	BToWo				186406:186406001	388971:1	review
설듣다	VV	DToL				177965:177965001	196507:1	review
설레발놓다	VV	Regular				443100:443100001	536372:1	regular-control
설마르다	VV	ReuDoubleL				449009:449009001	197605:1	review
설잡다	VV	Regular				448608:448608001	196520:1	regular-control
성마르다	VA	ReuDoubleL			63593	448760:448760001	352749:1	promoted
성스럽다	VA	BToWo			64386	190046:190046001	499722:1	productive-duplicate
성화스럽다	VA	BToWo				187092:187092001	196821:1	productive-duplicate
세놓다	VV	Regular			64112	446874:446874001	197518:1	regular-control
세로지르다	VV	ReuDoubleL					1606546:1	review
세받다	VV	Regular				180977:180977001	197737:1	regular-control
세상모르다	VV	ReuDoubleL				188272:188272001	13956:1|45717:1|65963:1	review
소견스럽다	VA	BToWo				191155:191155001	13663:1|45447:1	productive-duplicate
소녀스럽다	VA	BToWo					948281:1	productive-duplicate
소담스럽다	VA	BToWo			63617	447202:447202001	516045:1|519469:1	productive-duplicate
소란스럽다	VA	BToWo			63442	444198:444198001	353223:1	productive-duplicate
소망스럽다	VA	BToWo			63460	188717:188717001	201601:1	productive-duplicate
소사스럽다	VA	BToWo				186240:186240001	352930:1	productive-duplicate
소심스럽다	VA	BToWo				444153:444153001	536790:1	productive-duplicate
소연스럽다	VA	BToWo				447403:447403001	426396:1	productive-duplicate
소요스럽다	VA	BToWo				189096:189096001	199394:1	productive-duplicate
소인스럽다	VA	BToWo				451298:451298001	201421:1	productive-duplicate
소증사납다	VA	BToWo				196191:196191001	200323:1	review
속물스럽다	VA	BToWo			64242		631790:1	productive-duplicate
속악스럽다	VA	BToWo				192504:192504001	199679:1	productive-duplicate
손꼽다	VV	Regular			63922	448829:448829001	370730:1|374206:1|389372:1	regular-control
손뜨겁다	VA	BToWo				450906:450906001	573473:1	review
손부끄럽다	VA	BToWo				445166:445166001	201255:1	review
손쉽다	VA	BToWo			15603	192537:192537001	573661:1	promoted
손잡다	VV	Regular			15605	449333:449333001	15309:1|46090:1|66144:1	regular-control
솟다	VV	Regular			15611	448026:448026001	201525:1|30114:1|30906:1|31296:1|61683:1|62597:1|62965:1|69615:1	regular-control
솟아오르다	VV	ReuDoubleL			64480	447822:447822001	15345:1|46093:1	promoted
송괴스럽다	VA	BToWo				193170:193170001	389317:1	productive-duplicate
송구스럽다	VA	BToWo			64654	445778:445778001	199282:1	productive-duplicate
송름스럽다	VA	BToWo				448837:448837001	573435:1	productive-duplicate
쇠굳다	VA	Regular				193877:193877001	199318:1	regular-control
수고롭다	VA	BToWo			64023	190757:190757001	203677:1	productive-duplicate
수고스럽다	VA	BToWo			64028	448187:448187001	203681:1	productive-duplicate
수괴스럽다	VA	BToWo				197099:197099001|445567:445567001	204598:1|537241:1	productive-duplicate
수나롭다	VA	BToWo				448006:448006001	479454:1|482882:1	productive-duplicate
수놓다	VV	Regular			64217	448450:448450001	15264:1|46037:1	regular-control
수다스럽다	VA	BToWo			64549	448468:448468001	389860:1	productive-duplicate
수란스럽다	VA	BToWo				190729:190729001	205985:1	productive-duplicate
수럭스럽다	VA	BToWo				189186:189186001	537432:1	productive-duplicate
수령스럽다	VA	BToWo				196473:196473001	203703:1	productive-duplicate
수사납다	VA	BToWo				198527:198527001	537150:1	review
수삽스럽다	VA	BToWo				194836:194836001	390002:1	productive-duplicate
수상스럽다	VA	BToWo			65237	449677:449677001	426752:1	productive-duplicate
수선스럽다	VA	BToWo			65305	195487:195487001	14560:1|46158:1	productive-duplicate
수수롭다	VA	BToWo				452626:452626001	205585:1	productive-duplicate
수월스럽다	VA	BToWo				452817:452817001	537213:1	productive-duplicate
수줍다	VA	Regular			65474	446787:446787001	353301:1	regular-control
수치스럽다	VA	BToWo			64915	453011:453011001	353519:1	productive-duplicate
수통스럽다	VA	BToWo				449844:449844001	353239:1	productive-duplicate
수퉁스럽다	VA	BToWo					629469:1	productive-duplicate
숙부드럽다	VA	BToWo				452778:452778001	516140:1|519652:1|521854:1	review
순리롭다	VA	BToWo				193990:193990001	573791:1	productive-duplicate
순조롭다	VA	BToWo			64590	450842:450842001	537495:1	productive-duplicate
순지르다	VV	ReuDoubleL				450161:450161001	206966:1	review
순진스럽다	VA	BToWo			65129	189478:189478001	516178:1|519596:1	productive-duplicate
순편스럽다	VA	BToWo				199749:199749001	207795:1	productive-duplicate
순화롭다	VA	BToWo				197466:197466001	353869:1	productive-duplicate
숫스럽다	VA	BToWo				195465:195465001	206584:1	productive-duplicate
숫접다	VA	BToWo				450083:450083001	463832:1	review
쉽다	VA	BToWo			66314	449909:449909001	15282:1|65602:1	core-duplicate
스산스럽다	VA	BToWo				203655:203655001	208492:1	productive-duplicate
스스럽다	VA	BToWo				451272:451272001	14937:1|46445:1	productive-duplicate
슬겁다	VA	BToWo				451762:451762001	15293:1|45841:1	review
슬기롭다	VA	BToWo			65261	210033:210033001	206863:1	productive-duplicate
시골스럽다	VA	BToWo				516599:516599001	597959:1	productive-duplicate
시꺼멓다	VA	DropH			65936			review
시끄럽다	VA	BToWo			15961	451749:451749001	407231:1|410762:1|427026:1	promoted
시답다	VA	BToWo			601720			productive-duplicate
시들마르다	VA	ReuDoubleL				199045:199045001	574187:1	review
시들스럽다	VA	BToWo				200262:200262001	537488:1	productive-duplicate
시름겹다	VA	BToWo				202552:202552001	207978:1	review
시망스럽다	VA	BToWo				450166:450166001	208799:1	productive-duplicate
시뻘겋다	VA	DropH			85240			review
시뿌옇다	VA	DropH				199605:199605001	427059:1	review
시쁘장스럽다	VA	BToWo				451354:451354001	574356:1	productive-duplicate
시설스럽다	VA	BToWo				450343:450343001	353978:1	productive-duplicate
시원스럽다	VA	BToWo			66008	451653:451653001	481112:1|481178:1|484609:1|484733:1|485326:1|485647:1	productive-duplicate
시지르다	VV	ReuDoubleL				202084:202084001	210776:1	review
시커멓다	VA	DropH			65730			review
시퉁머리스럽다	VA	BToWo				202087:202087001	210563:1	productive-duplicate
시퉁스럽다	VA	BToWo				202088:202088001	427358:1	productive-duplicate
시퍼렇다	VA	DropH			65743			review
시푸르다	VA	Reo				209108:209108001	211181:1	review
시허옇다	VA	DropH				193962:193962001	538101:1	review
신고스럽다	VA	BToWo				210605:210605001	212082:1	productive-duplicate
신기롭다	VA	BToWo				207482:207482001|455511:455511001	209987:1|209988:1	productive-duplicate
신령스럽다	VA	BToWo			65713	452242:452242001	538106:1	productive-duplicate
신명스럽다	VA	BToWo				207362:207362001	574847:1	productive-duplicate
신비롭다	VA	BToWo			65906	206521:206521001	212104:1	productive-duplicate
신비스럽다	VA	BToWo			65576	452420:452420001	501274:1	productive-duplicate
신산스럽다	VA	BToWo				203017:203017001	390906:1	productive-duplicate
신성스럽다	VA	BToWo					753875:1	productive-duplicate
신세스럽다	VA	BToWo				208920:208920001	501151:1	productive-duplicate
