lemma	pos	alternation	flags	overrides	derivations
불쌍하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=불쌍히	
불안스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=불안스레	
불행하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=불행히	
비밀스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=비밀스레	
빈틈없다	VA	SurfaceOnly		lexical.dictionary-conjugation=빈틈없는	
빈틈없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=빈틈없이	
빠르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=빨리	
뻔뻔스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=뻔뻔스레	
뻘겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=뻘거니	
뻘겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=뻘게	
사사롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=사사로이	
상관없다	VA	SurfaceOnly		lexical.dictionary-conjugation=상관없는	
상관없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=상관없이	
상관있다	VA	SurfaceOnly		lexical.dictionary-conjugation=상관있는	
새롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=새로이	
새삼스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=새삼스레	
서슴없다	VA	SurfaceOnly		lexical.dictionary-conjugation=서슴없는	
서슴없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=서슴없이	
섣부르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=섣불리	
섧다	VA	SurfaceOnly		lexical.dictionary-conjugation=설우니	
섧다	VA	SurfaceOnly		lexical.dictionary-conjugation=설워	
성화같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=성화같이	
소담스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=소담스레	
소용없다	VA	SurfaceOnly		lexical.dictionary-conjugation=소용없는	
속없다	VA	SurfaceOnly		lexical.dictionary-conjugation=속없는	
속절없다	VA	SurfaceOnly		lexical.dictionary-conjugation=속절없는	
속절없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=속절없이	
손색없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=손색없이	
손쓰다	VV	SurfaceOnly		lexical.dictionary-conjugation=손써	
수고롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=수고로이	
수고스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=수고스레	
수없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=수없이	
순조롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=순조로이	
스스럼없다	VA	SurfaceOnly		lexical.dictionary-conjugation=스스럼없는	
스스럼없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=스스럼없이	
슬프다	VA	SurfaceOnly		lexical.dictionary-related-adverb=슬피	
시급하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=시급히	
시꺼멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=시꺼머니	
시꺼멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=시꺼메	
시뻘겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=시뻘거니	
시뻘겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=시뻘게	
시원스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=시원스레	
시원하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=시원히	
시커멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=시커머니	
시커멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=시커메	
시퍼렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=시퍼러니	
시퍼렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=시퍼레	
신랄하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=신랄히	
실낱같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=실낱같이	
실없다	VA	SurfaceOnly		lexical.dictionary-conjugation=실없는	
실없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=실없이	
싹수없다	VA	SurfaceOnly		lexical.dictionary-conjugation=싹수없는	
싹트다	VV	SurfaceOnly		lexical.dictionary-conjugation=싹터	
쏜살같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=쏜살같이	
쓸데없다	VA	SurfaceOnly		lexical.dictionary-conjugation=쓸데없는	
쓸데없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=쓸데없이	
쓸모없다	VA	SurfaceOnly		lexical.dictionary-conjugation=쓸모없는	
쓸모없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=쓸모없이	
아낌없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=아낌없이	
아랑곳없다	VA	SurfaceOnly		lexical.dictionary-conjugation=아랑곳없는	
아랑곳없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=아랑곳없이	
악쓰다	VV	SurfaceOnly		lexical.dictionary-conjugation=악써	
악착같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=악착같이	
야단스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=야단스레	
어김없다	VA	SurfaceOnly		lexical.dictionary-conjugation=어김없는	
어김없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=어김없이	
어른스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=어른스레	
어림없다	VA	SurfaceOnly		lexical.dictionary-conjugation=어림없는	
어이없다	VA	SurfaceOnly		lexical.dictionary-conjugation=어이없는	
어이없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=어이없이	
어쩌다	VV	SurfaceOnly		lexical.dictionary-conjugation=어째	
어처구니없다	VA	SurfaceOnly		lexical.dictionary-conjugation=어처구니없는	
어처구니없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=어처구니없이	
없다	VA	SurfaceOnly		lexical.dictionary-conjugation=없는	
없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=없이	
여지없다	VA	SurfaceOnly		lexical.dictionary-conjugation=여지없는	
여지없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=여지없이	
염치없다	VA	SurfaceOnly		lexical.dictionary-conjugation=염치없는	
영락없다	VA	SurfaceOnly		lexical.dictionary-conjugation=영락없는	
영락없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=영락없이	
온데간데없다	VA	SurfaceOnly		lexical.dictionary-conjugation=온데간데없는	
온데간데없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=온데간데없이	
외롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=외로이	
요란스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=요란스레	
요러다	VV	SurfaceOnly		lexical.dictionary-conjugation=요래	
원만하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=원만히	
원망스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=원망스레	
유난스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=유난스레	
유례없다	VA	SurfaceOnly		lexical.dictionary-conjugation=유례없는	
유례없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=유례없이	
이러다	VV	SurfaceOnly		lexical.dictionary-conjugation=이래	
이상스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=이상스레	
인정사정없다	VA	SurfaceOnly		lexical.dictionary-conjugation=인정사정없는	
인정사정없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=인정사정없이	
일없다	VA	SurfaceOnly		lexical.dictionary-conjugation=일없는	
일없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=일없이	
있다	VA	SurfaceOnly		lexical.dictionary-conjugation=있는	
자랑스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=자랑스레	
자연스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=자연스레	
자유롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=자유로이	
잠잠하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=잠잠히	
장렬하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=장렬히	
재미없다	VA	SurfaceOnly		lexical.dictionary-conjugation=재미없는	
재미있다	VA	SurfaceOnly		lexical.dictionary-conjugation=재미있는	
재밌다	VA	SurfaceOnly		lexical.dictionary-conjugation=재밌는	
재빠르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=재빨리	
저러다	VV	SurfaceOnly		lexical.dictionary-conjugation=저래	
적잖다	VA	SurfaceOnly		lexical.dictionary-related-adverb=적잖이	
정성스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=정성스레	
정신없다	VA	SurfaceOnly		lexical.dictionary-conjugation=정신없는	
